source,target,count,amount
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x7727e5113d1d161373623e5f49fd568b4f543a9e,3114,85544.61146
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x7727e5113d1d161373623e5f49fd568b4f543a9e,2868,83790.33423
0xfb9f7f41319157ac5c5dccae308a63a4337ad5d9,0xfa52274dd61e1643d2205169732f29114bc240b3,1898,12888.34672
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x8271b2e8cbe29396e9563229030c89679b9470db,1809,15466.82502
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x8271b2e8cbe29396e9563229030c89679b9470db,1611,16730.53139
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x7727e5113d1d161373623e5f49fd568b4f543a9e,1436,25306.9574
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0xfa52274dd61e1643d2205169732f29114bc240b3,1412,38574.78331
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,1345,17751.09581
0x32be343b94f860124dc4fee278fdcbd38c102d88,0x7727e5113d1d161373623e5f49fd568b4f543a9e,1309,67637.90819
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,1294,38365.50217
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,1221,3144.84937
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,1206,41036.38339
0x32be343b94f860124dc4fee278fdcbd38c102d88,0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,1203,12460.03866
0x563b377a956c80d77a7c613a9343699ad6123911,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,1184,2827.377423
0xd3273eba07248020bf98a8b560ec1576a612102f,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,1135,2547.36205
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,1106,5484.920109
0x32be343b94f860124dc4fee278fdcbd38c102d88,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,1044,69751.89044
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,942,4305.047892
0xd24400ae8bfebb18ca49be86258a3c749cf46853,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,812,17765.78312
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0xfa52274dd61e1643d2205169732f29114bc240b3,780,14271.84552
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,773,91601.12801
0x8271b2e8cbe29396e9563229030c89679b9470db,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,760,13077.9766
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x0d6b5a54f940bf3d52e438cab785981aaefdf40c,673,5395.654827
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,667,1263.767731
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0xfa52274dd61e1643d2205169732f29114bc240b3,661,66071.06162
0x32be343b94f860124dc4fee278fdcbd38c102d88,0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,650,2129.780454
0x32be343b94f860124dc4fee278fdcbd38c102d88,0xfa52274dd61e1643d2205169732f29114bc240b3,643,19443.91612
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,561,2908.752515
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,535,47454.33665
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,523,27673.41355
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,451,71922.40454
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x8271b2e8cbe29396e9563229030c89679b9470db,451,3868.963831
0xd24400ae8bfebb18ca49be86258a3c749cf46853,0x7727e5113d1d161373623e5f49fd568b4f543a9e,430,53432.2804
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x1522900b6dafac587d499a862861c0869be6e428,412,34379.32741
0x8271b2e8cbe29396e9563229030c89679b9470db,0x7727e5113d1d161373623e5f49fd568b4f543a9e,394,6656.778239
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x1522900b6dafac587d499a862861c0869be6e428,382,31887.49199
