co_miners,pool
0x0512d585e0df77478d00f5839c7892748125e91c,NoobPool
0x216ee6e03cafae34b2d0b4615048d60cb2f42a0f,NoobPool
0x3021b80a3b63ae29e8740f0299a14e96ecfd6aff,NoobPool
0x4072c9e01fc9bc4b08a9d41837de9f41e599eb58,NoobPool
0x575ba7f29826f11aaef7cc8f0b6c01d2b8cbeaaf,NoobPool
0x7f62d37b16f9bd624fa55d4e51c3b129db10a589,NoobPool
0x7fb21ac4cd75d9de3e1c5d11d87bb904c01880fc,NoobPool
0x9bde94e1a56ff01715f4ab3da00d75a35f163015,NoobPool
0xb87df3baf238bff2cdefe882a5ab8f07cf16cba3,NoobPool
0xbb6332a9cc58af183dbb4d5b29da0ccf8fc47b23,NoobPool
0xc6f31a79526c641de4e432cb22a88bb577a67eac,NoobPool
0xd5d96fbb970ceb6a1bfef3d546df954f0ac6ea54,NoobPool
0xd93c93bbbd19f740555470310af1f8ae6f1407c5,NoobPool
