co_miners,pool_name
0xfeda5aa6b1a35d83bb2226d9f5c919c2b17b985c,dwrafPool
0x56ddf37b94bd902ce1449d3372690b4d8747766a,dwrafPool
0xa3a887abfdcfd5b72ac21fb5f292544cc1d1a4aa,dwrafPool
0xf2786530f3afecb98823330288ba91cef91f0652,dwrafPool
0x4d042f67610256600d934d7d876e0824292bf851,dwrafPool
0x587e9bf7162f17867556db8c7b8290fa599a6c75,dwrafPool
0x87599322b7799e5162fcb46982b7aeea00400b58,dwrafPool
0xd53ce8081caf02a4b8b3ba8269db96e085b83e98,dwrafPool
0x92f729af109faee23b8aedbb0f8f7c4ada348520,dwrafPool
0xac897cbe0a3e0b3033ab166f8f2e63ce4482ff8b,dwrafPool
0x7fb21ac4cd75d9de3e1c5d11d87bb904c01880fc,dwrafPool
0x3d2d63bea03ac17b17c5f1afc9101a2d2153e5c5,dwrafPool
0xd3fff439a0bd397518817ca38834a2f91ebbf0bc,dwrafPool
0xd87ea1e2f9edfa5129f049fa65f08428952de94e,dwrafPool
0xc6f31a79526c641de4e432cb22a88bb577a67eac,dwrafPool
0xbd6ba7c6b74862c4f4446ef7795eb65e79dab583,dwrafPool
0x791421777f551394f798e08a40e4431f696040b2,dwrafPool
0x2cc3144f366cfa813cd5b5f773f8712cc20d88d7,dwrafPool
0xbeeef1f6f67ca4d09741e10d7e6cf7c112c8da0e,dwrafPool
0xda4e6cc71267115cbfd774d4c5e718e8d45cb79f,dwrafPool
0x38bb0ed6884558ec4bf260e1c41d0211917ea621,dwrafPool
0xa9a1c12c29528e66c0d2280f95367948447f3576,dwrafPool
0x4f3ac2f1b04669787abc0bffc5264ed67675ad1e,dwrafPool
0x837369745cd9bb0343b6cbf566793feb8e81cf81,dwrafPool
0xa52c43038fd409b80fe1778c9a8b4bc14dc91f2c,dwrafPool
0x5db178a1cc0178c019fa1e1e6d9ef98e8de5a879,dwrafPool
0x85d919db666812df5bd9319c5a64bdf8a0034731,dwrafPool
0x8b1dd48344de9922ac1f24b7563fc07ebaa00b20,dwrafPool
0x146e3d26827346bf1d24707774c147e5016c7a85,dwrafPool
0x25fab03f25f33821876cc9a4e9d934b38042f776,dwrafPool
0x81e941c7de26962bad09d71877d61490ca98d994,dwrafPool
0xc43e2a9bb72508dd4dc9e24fb265f0b82ff7b737,dwrafPool
0x3ea9bb1bfad5e949d83a91e25045530684cf65c0,dwrafPool
0x7c21f2f5204e3a2c4c3bcaecbbd96b617c57d273,dwrafPool
0x5386f2faf04a97031dd530773dfbada7b7070b71,dwrafPool
0x06a1aa03c180cff362ad51c69a4c60688013a990,dwrafPool
0x68eabb453a38fbedd5e8075f33d7b3200d0638eb,dwrafPool
0xfdaee9b2567283d35eab419984b9fc6767f0a1bf,dwrafPool
0xa21ca58c62822675e47ff83159f61eaed8b7b059,dwrafPool
0x1fabb33dcfc1778099c57952abc64ce30dd2d1b7,dwrafPool
0x35b13c8d41d1a14ec5834dc30cf3c3427cb4f771,dwrafPool
0x34bfe1e396ed50995f6adb300670a008ce2d5d55,dwrafPool
0x029bd1be4372698458ea2e9881a90f42861cffb2,dwrafPool
0x8339bcc4234aab70ede24f63ca59593bfa313097,dwrafPool
0x9afe3f5ce5d24d7e6f8d60dea6bb53a664ac1c12,dwrafPool
0x41632a84c1362f60c073032053d2422fb63b9372,dwrafPool
0x341fa6dd01160d6bb693794d93e771d294a5fc7f,dwrafPool
0x2128360b2e30378e9a82182159bacc1252f68a16,dwrafPool
0x58e675820e30670907162dd02a878cdd20c22413,dwrafPool
0x5acab4e52c0863e42af806d49f8db96105118fa2,dwrafPool
