spark_miners,pool_name,start_time,end_time,total_pay
0x2d3b55aaeb615a2045f932c2267dfec1edbb0d35,sparkpool,2017-09-30,2019-07-20,52.54786967
0xb8daf3b8a5f62e24ea9cc882e41d9a8263420cb0,sparkpool,2017-09-29,2018-02-22,81.2388646
0xdac89ccba41874d3b6475b7d6e66585d24e65cc6,sparkpool,2017-09-29,2017-10-26,2.89845673
0x015fed7c689bc2ec0112ab7c41799f7f2af66b58,sparkpool,2017-09-30,2017-12-28,0.65891876
0xcf707bbfae024f2061f75d66e3316f1a4a7ddfe7,sparkpool,2017-09-28,2019-07-21,141.33378948
0x7b61a69b92e66e9b81bd34854e35c33db156ed05,sparkpool,2017-09-29,2017-10-30,15.20028733
0x8cc217bba57c4a68fbc85dc5281354d8c50d3b51,sparkpool,2017-09-29,2018-01-28,9.09494916
0x66f5bc6a6951e5a8fe094b83ea017295fc548209,sparkpool,2017-10-01,2018-12-28,14.24585556
0x5ffa2f9b4ac35de1d23b804dd51905e384379545,sparkpool,2017-09-29,2019-07-21,193.95940842
0xffb64453a9d4e86d911a7ce7b5dbf3c7803771c2,sparkpool,2017-09-30,2017-10-26,1.8746622
0x20913b3873bd0931a262f2425feb242feff48b33,sparkpool,2017-09-29,2018-01-28,0.45754724
0x44467d305d9c737a3cd93c2899ca60660a5ba594,sparkpool,2017-09-28,2018-02-26,59.51477835
0x38d802e3f0fedfdb0165f0acbdce6638b37aa88f,sparkpool,2017-09-28,2018-01-28,24.51222346
0x60868c2c09d54a5eea97f36929b801a511c513f6,sparkpool,2017-09-28,2017-11-28,8.90441006
0xd92bb5aa2d014b7226e33fe4625a03fa87e7facb,sparkpool,2017-09-28,2018-07-21,346.87773573
0xc13bdba5ad0510a538684a11a0b43df0b593c213,sparkpool,2017-09-28,2018-05-03,886.86263821
0xd46486c31cf88562c389502d69f4dd9d03e221fc,sparkpool,2017-09-28,2018-02-28,768.18718757
0xf78ea97e64398e28fb60ea3c59ad480272ee2971,sparkpool,2017-09-28,2017-10-26,0.94219458
0x396fcf34ba2075bd3deccd7820d95eb6ddab77c8,sparkpool,2017-09-28,2019-07-21,117.60134042
0x02292162cc6caa9d66b444b0be2880a72d15b99a,sparkpool,2017-09-28,2018-02-28,92.26702453
0x3440e75d16c79fa2c67bff4041ab3ea06c6824d0,sparkpool,2017-09-28,2018-02-22,97.80650702
0x8c47fd22a3a2100294f857e0b76af227417d0812,sparkpool,2017-09-28,2018-01-28,4.50595855
0x7adc203b410343e45a0193c6781eaa2eb18d1ce6,sparkpool,2017-09-28,2017-11-01,12.745101
0xfee981f008a47548f1fb5da260b2b51a60452403,sparkpool,2017-09-28,2018-01-28,216.64486293
0x65af310ec47990ac2ecf69b6adea6f213bcce42e,sparkpool,2017-09-28,2018-07-28,1544.26209271
0x8aaae9b29e6b93bca44b86027fed51e38c7bfe5d,sparkpool,2017-09-28,2017-10-26,3.49249605
0x512c2b01615bffedfdb0045b0f741a8183f0c1ac,sparkpool,2017-09-28,2017-11-10,21.2820344
0x00e40dce1ac06d5d1a50719dab74b46c75e9a422,sparkpool,2017-09-28,2018-07-28,3123.37334388
0x446fab5b61253cc67082291a2cbf4baca9a043f5,sparkpool,2017-09-28,2019-07-21,3011.35579079
0x3db776b21fb9f5e554ccc687f8deaf9240c43e10,sparkpool,2017-09-28,2018-02-01,66.02014413
0xc1fab1220c211e07d64f67fd59e71424273005ea,sparkpool,2017-09-28,2017-10-19,5.3374795
0x1a161ebb5ca361c7f8708148c9502b25b1e91775,sparkpool,2017-09-28,2018-07-28,283.35368237
0x43cc6e75cfad0f4fc4aa8b0313a47fba80561fda,sparkpool,2017-09-28,2017-10-26,11.39487311
0x9c76f3d554424c456f4ae6e27f008d21d306ddcf,sparkpool,2017-09-28,2017-12-28,241.48459564
0xb2aae136811f0f5b8e8c10f5a5d51f9ed27179d9,sparkpool,2017-09-28,2017-11-01,25.57278993
0xf505db3e274f3464471917f424a30f6c51d62b5e,sparkpool,2017-09-28,2018-01-28,40.24095922
0x816508551adcef54aedcec4381084f1957881cfc,sparkpool,2017-09-28,2018-02-28,565.98724614
0x104f8eae4bfb1b73c401ec3a71b2b56fce61de9e,sparkpool,2017-09-28,2017-12-28,12.18815962
0xd41b8987d89227c5a9cb2fe3c84d42f846cffbd9,sparkpool,2017-09-28,2017-11-05,510.4827055
0x4cf9e02635c551b3ab804367afb8824b9896c879,sparkpool,2017-09-28,2018-03-22,748.16401921
0x7db9b8a26678b06184b6154af07ef497513962a7,sparkpool,2017-09-28,2017-11-17,23.74454684
0xcb8f8ab809d44c270888cc59ce75922a38a35844,sparkpool,2017-09-28,2017-11-28,15.38243688
0x8557eb5348d7de318274d4623e336c548380a203,sparkpool,2017-09-28,2018-01-28,28.0635244
0xb3dbaf5c01badda155a93c7166819117c113875f,sparkpool,2017-09-28,2019-07-18,169.3690941
0x3647d9da20679a1749f4b1e278c17501b4fbab69,sparkpool,2017-09-28,2017-12-24,42.19258366
0x5452afb5d1d70e83af7acbebcffd34b157e1d93b,sparkpool,2017-09-28,2019-07-16,172.16999626
0x1a45b0c51eda37f12f83e89d1c965877d6339d8c,sparkpool,2017-09-28,2019-03-28,1184.33765473
0x5eac27c8aa27580522ea9d8d03584eb10c87572c,sparkpool,2017-09-28,2017-10-31,4.80337031
0x1089c06849037d632815dfde7cda9962890a0174,sparkpool,2017-09-28,2017-10-26,6.79589256
0x38e403bc7ca91104f088bde1e651009b89247239,sparkpool,2017-09-28,2018-09-23,113.78128559
0x9b543e2346a576262dc187e057598777a51cc46d,sparkpool,2017-09-28,2017-12-10,4.38334458
0x6ee8bf25cb70bf7271f7826c8c02646b65122410,sparkpool,2017-09-28,2018-11-27,81.68478223
0xc1c427cd8e6b7ee3b5f30c2e1d3f3c5536ec16f5,sparkpool,2017-09-28,2019-07-21,810.7817916
0xf42e3a9b542009f97696176be51959389f30197c,sparkpool,2017-09-28,2017-11-28,28.35441069
0x6c4357d8aaba7c0bcfd6247f3d11898f0655305f,sparkpool,2017-09-28,2017-11-28,6.61493776
